stdg_Cd,bjd_Nm,etc_Area,excespoor_Drain_Area,exceswell_Drain_Area,moderpoor_Drain_Area,moderwell_Drain_Area,poor_Drain_Area,well_Drain_Area
4824036023,경상남도 사천시 곤명면 조장리,11,0,170,37,50,0,21
4824036024,경상남도 사천시 곤명면 봉계리,14,0,251,68,38,0,65
4824036026,경상남도 사천시 곤명면 삼정리,2,0,7,5,80,0,276
4824036028,경상남도 사천시 곤명면 마곡리,6,3,438,77,10,0,96
4824036029,경상남도 사천시 곤명면 성방리,10,0,513,112,4,0,131
4825012000,경상남도 김해시 안동,9,12,69,64,10,9,56
4825010200,경상남도 김해시 서상동,0,0,0,0,0,0,28
4825010300,경상남도 김해시 부원동,10,0,7,88,0,73,21
4825010500,경상남도 김해시 대성동,2,0,11,12,2,0,29
4481025028,충청남도 예산군 예산읍 관작리,8,2,173,46,37,0,159
4481025029,충청남도 예산군 예산읍 창소리,7,4,1,45,99,0,85
4481025030,충청남도 예산군 예산읍 신례원리,0,0,67,37,52,0,202
4773046034,경상북도 의성군 안평면 창길리,12,0,685,42,68,0,133
4773046035,경상북도 의성군 안평면 괴산리,8,0,428,16,50,0,104
4723025037,경상북도 영천시 금호읍 원기리,4,0,0,4,62,0,22
4723025038,경상북도 영천시 금호읍 신대리,37,0,28,0,99,0,81
4723025039,경상북도 영천시 금호읍 남성리,15,0,192,41,17,0,93
4723025041,경상북도 영천시 금호읍 황정리,45,0,29,1,84,0,82
4723031021,경상북도 영천시 청통면 호당리,22,0,161,26,100,0,62
4723031022,경상북도 영천시 청통면 우천리,13,0,200,64,19,0,177
4723031024,경상북도 영천시 청통면 신덕리,8,0,323,29,40,0,93
4723025030,경상북도 영천시 금호읍 관정리,20,0,1,0,106,0,14
4723025031,경상북도 영천시 금호읍 구암리,38,0,217,83,42,0,106
4723025033,경상북도 영천시 금호읍 대곡리,8,0,163,18,49,0,49
4723025034,경상북도 영천시 금호읍 호남리,42,0,106,59,30,0,58
4723033033,경상북도 영천시 화산면 유성리,17,0,140,42,83,0,108
4825036000,경상남도 김해시 상동면,379,4,4130,59,782,0,1517
4825034025,경상남도 김해시 한림면 용덕리,6,0,8,33,67,0,220
4825034026,경상남도 김해시 한림면 안곡리,5,0,270,0,81,0,162
4825034028,경상남도 김해시 한림면 장방리,81,0,4,173,150,0,307
4825034029,경상남도 김해시 한림면 시산리,267,0,49,70,308,0,56
4825032000,경상남도 김해시 주촌면,85,31,864,346,491,39,1270
4825032022,경상남도 김해시 주촌면 원지리,11,0,195,40,86,0,270
4825032023,경상남도 김해시 주촌면 덕암리,7,0,186,4,94,0,209
4423032032,충청남도 논산시 광석면 율리,0,0,0,95,38,0,115
4423032033,충청남도 논산시 광석면 오강리,0,0,0,60,29,18,66
4423033021,충청남도 논산시 노성면 읍내리,1,6,2,63,9,0,244
4423033022,충청남도 논산시 노성면 두사리,0,3,3,23,2,0,88
4423033023,충청남도 논산시 노성면 송당리,5,7,45,62,19,0,184
4423033025,충청남도 논산시 노성면 하도리,12,0,34,127,22,0,122
4721039030,경상북도 영주시 부석면 보계리,0,101,446,52,15,0,162
4723025036,경상북도 영천시 금호읍 오계리,11,0,33,16,92,0,74
4889041000,경상남도 합천군 대양면,177,6,2178,263,467,3,2605
4889041021,경상남도 합천군 대양면 정양리,91,0,131,7,19,0,153
4889041022,경상남도 합천군 대양면 아천리,33,0,257,22,10,0,91
4889041024,경상남도 합천군 대양면 무곡리,13,0,349,26,92,0,261
4889041025,경상남도 합천군 대양면 덕정리,9,6,64,38,44,3,231
4825033025,경상남도 김해시 진례면 신안리,24,0,396,15,104,0,260
4825033026,경상남도 김해시 진례면 산본리,13,0,316,38,91,0,106
4825033027,경상남도 김해시 진례면 신월리,4,0,82,3,106,0,43
4825033029,경상남도 김해시 진례면 담안리,13,0,84,68,131,0,139
4825034000,경상남도 김해시 한림면,527,0,931,740,1260,0,2468
4825034021,경상남도 김해시 한림면 명동리,11,0,38,50,80,0,270
4825034023,경상남도 김해시 한림면 병동리,11,0,92,55,112,0,263
4418039025,충청남도 보령시 미산면 늑전리,16,18,291,16,2,0,84
4418039026,충청남도 보령시 미산면 도흥리,0,0,776,0,46,0,96
4418039027,충청남도 보령시 미산면 봉성리,6,12,258,17,24,0,56
4418039029,충청남도 보령시 미산면 은현리,0,37,137,10,2,0,75
4418039030,충청남도 보령시 미산면 내평리,4,25,233,3,20,0,57
4423033026,충청남도 논산시 노성면 죽림리,0,14,14,76,70,0,101
4423032024,충청남도 논산시 광석면 갈산리,0,10,1,180,40,29,103
4423032025,충청남도 논산시 광석면 광리,0,0,0,109,8,0,18
4423032027,충청남도 논산시 광석면 산동리,0,3,0,226,7,0,8
4423032029,충청남도 논산시 광석면 왕전리,3,0,34,142,15,0,82
4423032030,충청남도 논산시 광석면 항월리,7,0,27,99,12,0,146
4717035030,경상북도 안동시 일직면 조탑리,33,0,505,0,60,0,108
4717034027,경상북도 안동시 풍천면 금계리,8,0,576,2,73,0,90
4717034028,경상북도 안동시 풍천면 구호리,12,0,371,14,62,0,48
4717034029,경상북도 안동시 풍천면 어담리,8,0,1228,43,153,0,192
4717034031,경상북도 안동시 풍천면 가곡리,21,6,178,110,65,0,43
4717034033,경상북도 안동시 풍천면 하회리,95,0,229,63,98,0,87
4717035000,경상북도 안동시 일직면,341,12,5952,239,811,0,1216
4717035021,경상북도 안동시 일직면 귀미리,64,0,574,31,81,0,74
4717035023,경상북도 안동시 일직면 망호리,14,0,210,2,117,0,66
4723010100,경상북도 영천시 조교동,36,0,9,4,146,0,36
4723010300,경상북도 영천시 야사동,5,0,98,12,77,0,48
4723010500,경상북도 영천시 문외동,0,0,25,0,15,0,23
4721035032,경상북도 영주시 안정면 대평리,7,7,52,53,13,0,26
4721035033,경상북도 영주시 안정면 오계리,7,58,246,102,49,2,88
4777032042,경상북도 영덕군 남정면 사암리,3,0,761,0,46,0,166
4687037026,전라남도 영광군 법성면 입암리,22,30,218,18,0,12,59
4687037028,전라남도 영광군 법성면 월산리,10,21,26,56,16,30,181
4678033026,전라남도 보성군 겸백면 용산리,32,12,118,42,27,0,211
4688040030,전라남도 장성군 북하면 동현리,101,0,176,3,1,0,56
4688025036,전라남도 장성군 장성읍 용곡리,147,0,363,0,0,0,92
3171025600,울산광역시 울주군 온양읍,124,11,2657,688,441,1,2525
3171025621,울산광역시 울주군 온양읍 발리,8,4,82,95,41,0,451
3171025623,울산광역시 울주군 온양읍 망양리,18,0,266,69,28,0,73
3171025624,울산광역시 울주군 온양읍 남창리,16,1,55,33,2,0,22
4711131026,경상북도 포항시남구 대송면 송동리,8,6,0,42,33,4,136
4711131027,경상북도 포항시남구 대송면 제내리,19,14,0,36,6,0,20
4711131028,경상북도 포항시남구 대송면 옥명리,0,0,0,35,24,0,185
4711132000,경상북도 포항시남구 동해면,34,0,311,293,338,35,3374
4711132022,경상북도 포항시남구 동해면 약전리,0,0,13,18,3,15,66
4377033029,충청북도 음성군 맹동면 통동리,44,0,589,9,0,0,108
4377034000,충청북도 음성군 대소면,92,252,55,560,832,0,2022
4377033027,충청북도 음성군 맹동면 본성리,1,26,0,20,7,0,62
4161033000,경기도 광주시 도척면,99,40,3215,314,406,0,1140
4161033022,경기도 광주시 도척면 유정리,17,0,249,34,112,0,93
4159025332,경기도 화성시 봉담읍 유리,27,4,67,19,22,0,39
4159025300,경기도 화성시 봉담읍,124,156,577,681,283,0,2462
4159025322,경기도 화성시 봉담읍 내리,3,14,26,94,36,0,374
4159025323,경기도 화성시 봉담읍 수영리,2,31,11,58,32,0,168
4159025325,경기도 화성시 봉담읍 와우리,0,0,0,38,15,0,104
4159025326,경기도 화성시 봉담읍 수기리,5,6,0,27,8,0,80
4159025328,경기도 화성시 봉담읍 왕림리,0,5,64,51,18,0,134
4159025329,경기도 화성시 봉담읍 세곡리,2,0,72,4,13,0,51
4691033024,전라남도 신안군 자은면 유천리,24,0,119,7,64,72,295
4691033025,전라남도 신안군 자은면 유각리,43,0,80,95,108,66,283
4691033026,전라남도 신안군 자은면 면전리,10,0,33,58,32,0,124
4691033028,전라남도 신안군 자은면 고장리,29,0,250,168,39,0,266
4691033029,전라남도 신안군 자은면 구영리,8,0,118,91,36,0,179
4691034021,전라남도 신안군 비금면 광대리,22,0,145,37,19,0,225
4691034022,전라남도 신안군 비금면 용소리,6,0,15,101,2,19,54
4691034024,전라남도 신안군 비금면 가산리,36,0,80,52,15,165,74
4691034025,전라남도 신안군 비금면 덕산리,39,0,109,68,13,82,100
4691034027,전라남도 신안군 비금면 구림리,43,0,92,87,28,84,69
4691034028,전라남도 신안군 비금면 신원리,15,0,93,76,4,0,65
2644010500,부산광역시 강서구 죽림동,35,0,1,69,16,63,17
2644010600,부산광역시 강서구 식만동,34,0,6,35,51,130,0
2644010700,부산광역시 강서구 죽동동,35,0,2,218,7,185,4
2644010800,부산광역시 강서구 봉림동,261,0,1,498,98,123,11
2644011000,부산광역시 강서구 화전동,110,0,30,61,53,51,52
4159036030,경기도 화성시 팔탄면 덕우리,0,4,6,37,16,8,177
4159035026,경기도 화성시 서신면 제부리,24,7,76,31,0,1,7
4159035027,경기도 화성시 서신면 홍법리,0,44,10,22,20,11,183
4159035029,경기도 화성시 서신면 매화리,22,40,14,18,26,105,141
4159035030,경기도 화성시 서신면 용두리,4,74,6,48,21,48,259
4159035032,경기도 화성시 서신면 백미리,12,10,0,56,17,48,227
4159036000,경기도 화성시 팔탄면,220,267,421,871,464,156,2691
4159036022,경기도 화성시 팔탄면 창곡리,0,19,66,52,47,0,144
4159036023,경기도 화성시 팔탄면 기천리,46,0,133,40,70,0,197
4159036025,경기도 화성시 팔탄면 구장리,8,20,65,101,61,0,247
4159036026,경기도 화성시 팔탄면 율암리,25,31,0,59,48,0,376
4159036028,경기도 화성시 팔탄면 덕천리,8,16,9,33,13,0,196
4615038029,전라남도 순천시 낙안면 평촌리,3,0,0,10,68,0,8
4673034024,전라남도 구례군 마산면 황전리,21,0,1364,4,99,0,144
4673034025,전라남도 구례군 마산면 갑산리,3,0,0,28,169,0,55
4673035000,전라남도 구례군 광의면,88,0,1777,274,682,0,543
4673035021,전라남도 구례군 광의면 연파리,9,0,5,28,44,0,31
4673035023,전라남도 구례군 광의면 대산리,14,0,0,31,100,0,22
4673035024,전라남도 구례군 광의면 지천리,15,0,5,76,156,0,46
4673035026,전라남도 구례군 광의면 대전리,3,0,61,24,43,0,73
4673035027,전라남도 구례군 광의면 온당리,7,0,366,44,147,0,97
4673036000,전라남도 구례군 용방면,69,0,989,366,417,0,619
4673036022,전라남도 구례군 용방면 신지리,16,0,2,58,20,0,73
4874038027,경상남도 창녕군 영산면 신제리,60,0,125,120,19,0,118
4874038028,경상남도 창녕군 영산면 월령리,20,0,23,172,140,0,71
4874039000,경상남도 창녕군 장마면,159,69,1403,493,306,10,554
4874039021,경상남도 창녕군 장마면 강리,17,37,43,52,26,0,15
4723038023,경상북도 영천시 고경면 창상리,15,0,18,6,69,0,39
4723038024,경상북도 영천시 고경면 대의리,15,0,245,26,36,0,132
4723038026,경상북도 영천시 고경면 오류리,15,0,450,40,16,0,109
4723038027,경상북도 영천시 고경면 고도리,5,0,291,24,14,0,107
4723038029,경상북도 영천시 고경면 용전리,22,0,465,61,76,0,272
4723038031,경상북도 영천시 고경면 상리리,8,0,178,34,38,0,66
4723038032,경상북도 영천시 고경면 학리,3,0,359,19,36,0,109
4723039039,경상북도 영천시 북안면 원당리,2,0,208,6,19,0,57
4824031025,경상남도 사천시 정동면 수청리,12,0,60,0,40,0,113
4824025021,경상남도 사천시 사천읍 선인리,0,0,0,55,15,0,51
4824025022,경상남도 사천시 사천읍 정의리,0,0,0,13,11,0,20
4824025024,경상남도 사천시 사천읍 수석리,2,0,2,143,1,0,18
4824025025,경상남도 사천시 사천읍 사주리,9,0,11,76,10,0,25
4824025027,경상남도 사천시 사천읍 중선리,14,26,0,142,0,0,2
4824025028,경상남도 사천시 사천읍 구암리,7,0,258,84,41,0,291
4824025030,경상남도 사천시 사천읍 금곡리,5,0,248,2,39,0,21
4824025031,경상남도 사천시 사천읍 두량리,50,0,321,94,26,0,188
4824031022,경상남도 사천시 정동면 예수리,16,0,33,54,35,0,128
4824031023,경상남도 사천시 정동면 화암리,1,0,83,54,18,0,63
4824025000,경상남도 사천시 사천읍,107,29,1092,745,217,0,784
4723031029,경상북도 영천시 청통면 신학리,8,0,49,39,50,0,31
4723031031,경상북도 영천시 청통면 애련리,10,0,227,41,51,0,179
4723031032,경상북도 영천시 청통면 계포리,9,0,13,11,43,0,77
4723031034,경상북도 영천시 청통면 신원리,18,0,791,29,44,0,214
4723032000,경상북도 영천시 신녕면,205,0,5202,201,763,0,1709
4723032021,경상북도 영천시 신녕면 치산리,33,0,1437,19,103,0,417
4723032023,경상북도 영천시 신녕면 화서리,6,0,465,8,47,0,120
4723032025,경상북도 영천시 신녕면 왕산리,41,0,603,5,65,0,273
4723037031,경상북도 영천시 임고면 우항리,30,0,42,3,151,0,86
4723036025,경상북도 영천시 자양면 용산리,106,0,800,0,29,0,149
4723036028,경상북도 영천시 자양면 성곡리,184,0,273,0,21,0,178
4825025022,경상남도 김해시 진영읍 하계리,3,0,42,20,33,0,224
4825025023,경상남도 김해시 진영읍 방동리,2,0,11,8,13,0,61
4678032000,전라남도 보성군 미력면,143,52,645,531,138,0,1563
4678032021,전라남도 보성군 미력면 도개리,18,0,99,102,24,0,86
4678032022,전라남도 보성군 미력면 미력리,1,0,285,63,13,0,174
4678032024,전라남도 보성군 미력면 용정리,26,0,50,88,4,0,249
4678032025,전라남도 보성군 미력면 덕림리,30,36,15,36,20,0,184
4678032027,전라남도 보성군 미력면 초당리,3,0,8,59,30,0,233
4678033000,전라남도 보성군 겸백면,222,37,1310,375,339,0,2477
4678033022,전라남도 보성군 겸백면 운림리,60,0,89,3,66,0,342
4678033023,전라남도 보성군 겸백면 은덕리,9,0,153,56,22,0,290
4711131000,경상북도 포항시남구 대송면,71,45,1493,231,206,50,1169
4711131021,경상북도 포항시남구 대송면 공수리,1,0,0,21,7,12,37
4711131023,경상북도 포항시남구 대송면 홍계리,1,0,230,9,17,0,89
4711131024,경상북도 포항시남구 대송면 산여리,7,0,683,0,6,0,112
4711310300,경상북도 포항시북구 남빈동,0,3,3,0,0,0,0
4711310400,경상북도 포항시북구 상원동,0,3,3,0,0,0,0
4711125623,경상북도 포항시남구 오천읍 항사리,76,0,1610,1,24,0,203
4711133035,경상북도 포항시남구 장기면 대진리,7,8,13,13,13,0,93
4711133037,경상북도 포항시남구 장기면 학계리,4,0,23,20,18,2,114
4711133038,경상북도 포항시남구 장기면 학곡리,6,11,1,17,35,0,259
4711133040,경상북도 포항시남구 장기면 창지리,3,0,0,29,15,0,229
4687038022,전라남도 영광군 낙월면 하낙월리,0,0,48,0,0,0,8
4687038023,전라남도 영광군 낙월면 임병리,8,0,23,0,0,0,6
4687038025,전라남도 영광군 낙월면 월촌리,3,0,109,1,6,0,55
4687038026,전라남도 영광군 낙월면 신기리,5,0,150,1,4,0,46
4687038028,전라남도 영광군 낙월면 석만리,2,0,44,0,0,0,7
4161010200,경기도 광주시 쌍령동,13,6,225,8,20,0,61
4161010300,경기도 광주시 송정동,12,5,297,20,61,0,111
4161010400,경기도 광주시 회덕동,3,0,263,0,17,0,67
4161010600,경기도 광주시 목현동,1,0,737,8,34,0,106
4161010700,경기도 광주시 삼동,1,0,311,21,17,0,74
4161010900,경기도 광주시 직동,0,9,482,7,16,0,82
4161011000,경기도 광주시 태전동,16,10,268,26,38,0,128
4161011100,경기도 광주시 장지동,20,1,108,84,48,0,95
4161011300,경기도 광주시 목동,3,0,437,18,30,0,112
4721035030,경상북도 영주시 안정면 옹암리,0,0,99,52,3,0,44
4723012100,경상북도 영천시 녹전동,18,0,60,20,79,0,84
4723012200,경상북도 영천시 도림동,15,0,361,30,71,0,113
4721035034,경상북도 영주시 안정면 동촌리,7,50,152,23,19,0,63
4721034026,경상북도 영주시 장수면 소룡리,7,47,207,47,15,0,94
4721034027,경상북도 영주시 장수면 호문리,8,70,245,39,11,0,108
4721034028,경상북도 영주시 장수면 파지리,0,15,126,23,4,0,36
4721035021,경상북도 영주시 안정면 신전리,8,0,33,64,14,0,20
4721035023,경상북도 영주시 안정면 봉암리,1,0,139,40,22,0,70
4721035024,경상북도 영주시 안정면 용산리,0,36,283,75,40,0,180
4721035026,경상북도 영주시 안정면 묵리,4,38,225,35,4,0,36
4721035027,경상북도 영주시 안정면 내줄리,20,31,127,95,29,0,44
4678033027,전라남도 보성군 겸백면 남양리,21,0,55,92,39,0,268
4678033028,전라남도 보성군 겸백면 사곡리,3,0,112,35,32,0,176
4775025021,경상북도 청송군 청송읍 월막리,23,0,229,0,47,0,60
4113100000,경기도 성남시수정구,109,38,1982,597,271,6,1536
4113110100,경기도 성남시수정구 신흥동,2,0,17,45,0,0,115
4113110300,경기도 성남시수정구 수진동,3,0,0,7,5,0,111
4113110400,경기도 성남시수정구 단대동,0,0,8,28,0,0,44
4113110600,경기도 성남시수정구 양지동,0,0,66,20,0,0,40
4113110700,경기도 성남시수정구 복정동,11,2,133,77,61,1,93
4113110900,경기도 성남시수정구 신촌동,5,5,6,38,3,5,19
4113111000,경기도 성남시수정구 오야동,10,0,24,37,6,0,41
4711132023,경상북도 포항시남구 동해면 금광리,3,0,0,70,7,4,323
4711132025,경상북도 포항시남구 동해면 석리,1,0,17,15,12,0,171
4711132026,경상북도 포항시남구 동해면 임곡리,0,0,7,15,16,0,156
4711132028,경상북도 포항시남구 동해면 마산리,1,0,2,2,14,0,209
4711132030,경상북도 포항시남구 동해면 중흥리,1,0,7,0,21,0,382
4711132031,경상북도 포항시남구 동해면 발산리,8,0,197,2,17,0,446
4711125624,경상북도 포항시남구 오천읍 진전리,43,0,1228,0,21,0,70
4711125625,경상북도 포항시남구 오천읍 갈평리,27,0,534,1,46,0,373
4711125627,경상북도 포항시남구 오천읍 용산리,14,0,66,0,15,0,215
4711125628,경상북도 포항시남구 오천읍 광명리,2,0,0,12,56,0,255
4711125630,경상북도 포항시남구 오천읍 용덕리,7,0,5,2,111,0,73
4687037030,전라남도 영광군 법성면 용덕리,4,52,24,21,53,1,131
4687037031,전라남도 영광군 법성면 삼당리,14,47,0,104,0,0,150
4687038000,전라남도 영광군 낙월면,59,0,823,3,16,0,260
4377032029,충청북도 음성군 원남면 주봉리,13,0,195,39,32,0,204
4377032030,충청북도 음성군 원남면 문암리,4,0,136,92,35,0,318
4377032031,충청북도 음성군 원남면 조촌리,87,0,858,14,65,0,240
4377032033,충청북도 음성군 원남면 덕정리,0,0,402,17,29,0,144
4377033021,충청북도 음성군 맹동면 쌍정리,3,43,103,26,68,0,126
4377033022,충청북도 음성군 맹동면 인곡리,1,11,151,40,11,0,150
4377033024,충청북도 음성군 맹동면 봉현리,8,24,0,60,53,0,123
4377033026,충청북도 음성군 맹동면 신돈리,1,16,0,13,10,0,80
4161033023,경기도 광주시 도척면 방도리,0,8,207,76,46,0,216
4420041023,충청남도 아산시 신창면 창암리,3,0,0,88,34,0,246
4420041024,충청남도 아산시 신창면 황산리,0,0,0,63,38,0,152
4420041025,충청남도 아산시 신창면 행목리,4,0,0,73,17,0,229
4420041027,충청남도 아산시 신창면 신달리,22,0,0,160,6,0,62
4420041028,충청남도 아산시 신창면 남성리,3,0,0,174,49,0,246
4420041030,충청남도 아산시 신창면 가덕리,36,0,0,164,51,0,103
4420041031,충청남도 아산시 신창면 신곡리,25,0,0,148,10,0,65
4421000000,충청남도 서산시,3988,5985,4086,10093,5643,4008,36998
4421010100,충청남도 서산시 읍내동,7,9,0,32,3,0,181
4421010200,충청남도 서산시 동문동,0,0,0,33,53,0,222
4131010700,경기도 구리시 토평동,220,0,51,5,57,0,257
4159025331,경기도 화성시 봉담읍 마하리,3,11,29,21,6,0,50
4691034030,전라남도 신안군 비금면 죽림리,43,0,141,157,10,83,96
2644011100,부산광역시 강서구 녹산동,71,0,234,51,86,16,70
2644011300,부산광역시 강서구 구랑동,8,22,209,66,27,6,153
2644011400,부산광역시 강서구 지사동,22,0,659,21,109,0,419
2644011600,부산광역시 강서구 범방동,46,6,99,194,14,30,44
2644011700,부산광역시 강서구 신호동,366,0,0,0,42,0,0
4159036029,경기도 화성시 팔탄면 지월리,6,7,23,54,20,0,93
4159035025,경기도 화성시 서신면 송교리,26,49,1,29,22,71,132
4159034024,경기도 화성시 송산면 용포리,24,12,0,70,11,75,95
4159034025,경기도 화성시 송산면 고정리,148,6,8,63,31,198,218
4159034027,경기도 화성시 송산면 천등리,3,13,19,19,29,0,142
4159034028,경기도 화성시 송산면 신천리,10,7,23,60,16,28,83
4159034030,경기도 화성시 송산면 마산리,8,33,0,49,8,57,209
4159034031,경기도 화성시 송산면 고포리,16,32,8,24,8,22,249
4159034033,경기도 화성시 송산면 중송리,5,19,0,29,7,57,167
4159034034,경기도 화성시 송산면 육일리,0,20,3,25,16,0,149
4159035000,경기도 화성시 서신면,251,396,207,424,254,522,2279
4159035021,경기도 화성시 서신면 전곡리,60,47,27,44,22,70,401
4882025021,경상남도 고성군 고성읍 성내리,0,0,0,0,0,0,15
4882025022,경상남도 고성군 고성읍 서외리,0,16,0,3,1,0,28
4882025024,경상남도 고성군 고성읍 동외리,0,0,0,43,15,0,71
4882025025,경상남도 고성군 고성읍 송학리,7,0,0,137,9,0,35
4615038028,전라남도 순천시 낙안면 옥산리,3,0,10,16,57,0,49
4673034022,전라남도 구례군 마산면 광평리,13,0,130,30,19,0,105
4681031021,전라남도 강진군 군동면 파산리,14,0,261,112,66,0,142
4681031023,전라남도 강진군 군동면 라천리,4,0,110,163,31,0,59
4681031025,전라남도 강진군 군동면 화산리,15,0,552,44,70,0,270
4681031026,전라남도 강진군 군동면 용소리,34,1,371,93,26,0,124
4681031028,전라남도 강진군 군동면 장산리,17,17,445,37,87,0,76
4681031029,전라남도 강진군 군동면 덕천리,61,0,281,41,70,0,104
4681031031,전라남도 강진군 군동면 쌍덕리,5,0,22,65,19,0,83
4681031032,전라남도 강진군 군동면 금사리,22,4,428,5,43,0,96
4681032000,전라남도 강진군 칠량면,137,231,2988,420,711,5,1514
4681032022,전라남도 강진군 칠량면 동백리,2,4,402,30,43,0,94
4725010100,경상북도 상주시 성하동,0,0,0,0,0,0,5
4725010200,경상북도 상주시 성동동,2,1,0,40,106,0,19
4725010400,경상북도 상주시 복룡동,32,10,30,26,24,0,33
4725010500,경상북도 상주시 냉림동,10,8,5,10,40,0,8
4725010700,경상북도 상주시 남성동,0,0,2,16,1,0,43
4725010800,경상북도 상주시 서문동,0,0,0,7,0,0,14
4723039038,경상북도 영천시 북안면 관리,8,0,261,5,20,0,83
4725025030,경상북도 상주시 함창읍 척동리,8,0,6,7,39,0,27
4725025031,경상북도 상주시 함창읍 태봉리,25,0,9,101,52,0,24
4723039041,경상북도 영천시 북안면 반정리,27,0,220,35,115,0,127
4723039024,경상북도 영천시 북안면 도유리,10,0,175,16,27,0,102
4824012000,경상남도 사천시 늑도동,5,0,39,0,2,0,4
4824012100,경상남도 사천시 신수동,12,0,9,1,0,0,91
4824012200,경상남도 사천시 백천동,19,0,409,0,15,0,207
4824012500,경상남도 사천시 대포동,3,4,0,5,37,0,14
4824012600,경상남도 사천시 송포동,7,0,130,14,155,0,116
4827038024,경상남도 밀양시 무안면 화봉리,11,0,478,9,119,0,158
4827038026,경상남도 밀양시 무안면 양효리,7,0,149,54,34,0,141
4723036029,경상북도 영천시 자양면 용화리,14,0,1194,0,17,0,231
4723037021,경상북도 영천시 임고면 양항리,42,0,124,12,39,0,106
4723037023,경상북도 영천시 임고면 덕연리,32,0,91,7,50,0,231
4723037024,경상북도 영천시 임고면 삼매리,41,0,663,24,149,0,163
4723037026,경상북도 영천시 임고면 황강리,5,0,17,10,45,0,69
4723037027,경상북도 영천시 임고면 효리,23,0,333,37,102,0,187
4723037029,경상북도 영천시 임고면 사리,71,0,956,20,90,0,235
4723037030,경상북도 영천시 임고면 수성리,14,0,1369,0,136,0,434
4723036023,경상북도 영천시 자양면 충효리,86,0,814,4,91,0,139
4723039021,경상북도 영천시 북안면 상리,9,0,267,1,71,0,142
4723039022,경상북도 영천시 북안면 당리,7,0,145,5,71,0,30
4723036026,경상북도 영천시 자양면 신방리,7,0,496,0,54,0,151
4825010700,경상남도 김해시 삼계동,16,0,490,96,54,0,350
4825010800,경상남도 김해시 내동,14,38,35,5,122,0,41
4824036021,경상남도 사천시 곤명면 추천리,4,0,102,59,41,0,118
4824034026,경상남도 사천시 축동면 가산리,34,0,131,50,17,2,153
4824034027,경상남도 사천시 축동면 구호리,13,0,72,23,12,0,71
4824035000,경상남도 사천시 곤양면,179,2,3227,862,232,71,1543
4824035022,경상남도 사천시 곤양면 남문외리,4,0,14,26,3,0,2
4824035023,경상남도 사천시 곤양면 서정리,15,0,172,80,22,0,88
4824035025,경상남도 사천시 곤양면 대진리,20,0,260,129,16,14,195
4824036031,경상남도 사천시 곤명면 송림리,7,3,186,50,5,0,72
4824035028,경상남도 사천시 곤양면 흥사리,9,0,476,90,16,0,129
4776032034,경상북도 영양군 청기면 정족리,35,0,962,11,91,0,226
4723033034,경상북도 영천시 화산면 부계리,12,0,101,12,12,0,33
4723012500,경상북도 영천시 쌍계동,26,0,80,3,46,0,35
4723012600,경상북도 영천시 도남동,18,0,7,23,84,0,41
4723012700,경상북도 영천시 매산동,33,0,150,58,77,0,145
4723012800,경상북도 영천시 언하동,17,0,32,33,92,0,44
4723013000,경상북도 영천시 서산동,29,0,415,52,84,0,71
4723025000,경상북도 영천시 금호읍,467,0,1710,358,1452,0,1177
4723025022,경상북도 영천시 금호읍 덕성리,42,0,0,0,34,0,38
4723025024,경상북도 영천시 금호읍 대미리,15,0,172,30,58,0,79
4723025025,경상북도 영천시 금호읍 석섬리,0,0,14,0,75,0,24
4723025027,경상북도 영천시 금호읍 냉천리,57,0,11,0,68,0,78
4825032025,경상남도 김해시 주촌면 내삼리,14,4,244,27,127,0,279
4825034024,경상남도 김해시 한림면 신천리,7,0,82,17,92,0,278
4825032027,경상남도 김해시 주촌면 망덕리,8,26,5,30,31,0,55
4825032028,경상남도 김해시 주촌면 농소리,15,1,0,100,8,2,29
4825033021,경상남도 김해시 진례면 청천리,8,0,56,75,68,0,122
4825033023,경상남도 김해시 진례면 송정리,13,9,132,21,182,0,152
4825025025,경상남도 김해시 진영읍 좌곤리,17,0,19,113,62,0,87
4825025026,경상남도 김해시 진영읍 진영리,43,0,30,219,124,0,207
4825025027,경상남도 김해시 진영읍 여래리,2,0,5,13,46,0,221
4825025029,경상남도 김해시 진영읍 신용리,2,0,0,50,23,0,164
4825025031,경상남도 김해시 진영읍 내룡리,5,0,18,32,26,0,210
4825025032,경상남도 김해시 진영읍 죽곡리,13,0,35,56,17,0,107
4721035029,경상북도 영주시 안정면 안심리,11,3,53,44,32,0,34
4723012000,경상북도 영천시 대전동,18,0,87,14,46,0,61
4721037027,경상북도 영주시 순흥면 배점리,26,0,1253,19,38,0,199
4721037028,경상북도 영주시 순흥면 덕현리,3,2,842,2,39,0,158
4723012400,경상북도 영천시 오수동,27,0,51,0,62,0,16
4723010700,경상북도 영천시 교촌동,0,0,34,0,10,0,13
4723010800,경상북도 영천시 과전동,0,0,0,0,4,0,1
4723011000,경상북도 영천시 화룡동,10,0,59,14,116,0,42
4723011100,경상북도 영천시 도동,46,0,24,17,88,0,85
4723011300,경상북도 영천시 완산동,48,0,185,9,152,0,113
4723011400,경상북도 영천시 범어동,12,0,225,49,14,0,163
4723011600,경상북도 영천시 봉동,6,0,56,9,85,0,74
4889041028,경상남도 합천군 대양면 양산리,6,0,63,33,26,0,162
